Date,tmin,tmean,tmax,ppt
9/1/2012,23.2,27.1,31,0
9/2/2012,23.5,27.3,31.1,0
9/3/2012,25.5,28.4,31.3,0
9/4/2012,24.4,27.5,30.7,5.62
9/5/2012,23.5,25.6,27.8,45.46
9/6/2012,23.8,25.9,28.1,2.44
9/7/2012,22.5,26.3,30.2,0
9/8/2012,23.8,27,30.2,4.85
9/9/2012,21.2,26.1,31,13.54
9/10/2012,17,23.2,29.4,0
9/11/2012,18.5,23.7,28.9,0
9/12/2012,21.2,25.6,30,0
9/13/2012,22.4,25.8,29.2,0
9/14/2012,20.6,25.5,30.5,0
9/15/2012,21.7,26.1,30.5,0
9/16/2012,21.9,26,30,0
9/17/2012,23.7,26.9,30.1,14.46
9/18/2012,22.5,25,27.5,37.87
9/19/2012,18.5,23.6,28.8,1.95
9/20/2012,16.4,21.6,26.7,0
9/21/2012,17.9,23.1,28.4,0
9/22/2012,19.6,24.4,29.3,0
9/23/2012,19.6,25.1,30.6,0
9/24/2012,18,24.9,31.8,0
9/25/2012,13.7,21.3,28.9,0
9/26/2012,16.5,22.4,28.3,0
9/27/2012,19.1,24,28.8,0
9/28/2012,20.2,24.9,29.6,0
9/29/2012,21.3,25.6,30,0
9/30/2012,22.5,25.8,29.1,0.19
10/1/2012,23,25.4,27.8,49.71
10/2/2012,18.2,23.1,28,6.6
10/3/2012,16.2,21,25.8,0
10/4/2012,17.5,21.9,26.2,0
10/5/2012,17.8,23.5,29.1,0
10/6/2012,19.9,24.1,28.3,0
10/7/2012,17.6,23.9,30.1,0
10/8/2012,13.9,20.2,26.6,0
10/9/2012,12.1,19,25.9,0
10/10/2012,14,20.3,26.5,0
10/11/2012,15.1,21.1,27.1,0
10/12/2012,15,21.3,27.6,0
10/13/2012,16.5,22.3,28,0
10/14/2012,20.4,24.4,28.5,0
10/15/2012,19.2,23.6,28,0
10/16/2012,12.5,21.2,29.9,0
10/17/2012,14.6,19.9,25.2,0
10/18/2012,17.7,21.8,25.9,0.87
10/19/2012,12,18.7,25.4,59.65
10/20/2012,9.4,17.1,24.8,0
10/21/2012,10.5,18.1,25.7,0
10/22/2012,12.6,19.8,27,0
10/23/2012,14.2,20.1,26,0
10/24/2012,15.1,20.6,26,0
10/25/2012,16.4,21.7,27.1,0
10/26/2012,17.4,22.7,28,0
10/27/2012,15.2,22.3,29.4,0
10/28/2012,11,15,19,0
10/29/2012,5.9,12.4,18.9,0
10/30/2012,5.5,11,16.5,0
10/31/2012,6.5,12.6,18.6,0
11/1/2012,10.8,17,23.1,0
11/2/2012,7.8,15.6,23.5,0
11/3/2012,10,17.8,25.7,0
11/4/2012,14,20.5,27,0
11/5/2012,10.2,18.3,26.4,0
11/6/2012,10,16,22.1,11.21
11/7/2012,7.8,13.3,18.8,0
11/8/2012,4.5,11.3,18.1,0
11/9/2012,4,11.2,18.4,0
11/10/2012,5.7,13,20.3,0
11/11/2012,9.4,15.5,21.6,0
11/12/2012,13.6,18.4,23.3,0
11/13/2012,7.1,15.9,24.6,7.9
11/14/2012,5.1,11.4,17.6,0
11/15/2012,7.2,12.1,17.1,0
11/16/2012,9.1,12.5,15.9,0
11/17/2012,4.4,8.8,13.1,0
11/18/2012,6,12.1,18.1,0
11/19/2012,7.2,13.3,19.5,0
11/20/2012,7.3,14.6,21.9,0
11/21/2012,7.8,14.3,20.8,0
11/22/2012,8.2,15.7,23.2,0
11/23/2012,8.2,15.2,22.2,0
11/24/2012,8.2,15.7,23.1,0
11/25/2012,0.6,8.7,16.9,0
11/26/2012,1.4,8.6,15.8,0
11/27/2012,5.8,12.9,20,2.17
11/28/2012,10.5,14.6,18.7,25.99
11/29/2012,3.7,10.3,17,0
11/30/2012,6.3,12,17.8,0
12/1/2012,9.7,15.2,20.6,0
12/2/2012,10.1,16.2,22.4,0
12/3/2012,11.3,16.9,22.4,0
12/4/2012,12.8,18,23.1,0
12/5/2012,13,18.6,24.2,0
12/6/2012,12,17.2,22.4,0
12/7/2012,12.2,17.6,23.1,0
12/8/2012,16.3,18,19.8,1.2
12/9/2012,13,18,23,1.41
12/10/2012,17.4,20.4,23.4,0
12/11/2012,9.3,16.8,24.4,0
12/12/2012,5.4,8.2,10.9,4.9
12/13/2012,2.8,7.1,11.4,0
12/14/2012,3.3,9.5,15.6,0
12/15/2012,5.8,8.1,10.4,0
12/16/2012,9.7,14.4,19.1,0
12/17/2012,15.2,18.9,22.6,4.46
12/18/2012,11.2,16.5,21.7,17.42
12/19/2012,4.8,11.7,18.6,0
12/20/2012,6.4,14.1,21.7,1.49
12/21/2012,3.4,13,22.5,1.62
12/22/2012,-1.4,5.8,13,0
12/23/2012,-1.7,7,15.8,0
12/24/2012,1.9,9.8,17.8,3.34
12/25/2012,15.3,17.8,20.4,10.58
12/26/2012,11.3,16.5,21.8,16.8
12/27/2012,0.9,5.5,10.1,0
12/28/2012,1.4,5.6,9.7,0
12/29/2012,6.2,12.5,18.7,19.71
12/30/2012,-1.3,4.2,9.8,0
12/31/2012,-1.8,5,11.8,0
1/1/2013,3.3,10.4,17.5,0.6
1/2/2013,12,16.9,21.8,0.86
1/3/2013,6.5,11.6,16.7,5.62
1/4/2013,1.9,5.5,9.1,6.84
1/5/2013,1.5,7.4,13.3,0
1/6/2013,5.3,8.7,12,0
1/7/2013,5.5,9.3,13.1,0
1/8/2013,4.9,10.9,16.8,0
1/9/2013,10,13.8,17.6,0
1/10/2013,16.8,18.4,20.1,0.38
1/11/2013,17.3,19.1,20.9,6.82
1/12/2013,17.7,20,22.4,0
1/13/2013,18.4,20.7,23.1,0
1/14/2013,18.8,20.8,22.7,0
1/15/2013,19,20.9,22.7,1.71
1/16/2013,19.2,21,22.9,4.57
1/17/2013,6.6,14.2,21.8,6.36
1/18/2013,2.6,5.1,7.6,0
1/19/2013,1.8,8.5,15.1,0
1/20/2013,2.7,9.8,17,0
1/21/2013,5.6,12.1,18.7,0
1/22/2013,4.3,11.6,18.9,0
1/23/2013,1.4,8.6,15.8,0
1/24/2013,2.1,9.6,17.1,0
1/25/2013,7.2,14.2,21.3,0
1/26/2013,7.6,14.2,20.9,0
1/27/2013,10.3,16.3,22.3,0
1/28/2013,10.7,15.6,20.5,0
1/29/2013,15.3,18,20.6,0
1/30/2013,18.6,20.5,22.4,0.96
1/31/2013,3.2,13.1,23.1,5.9
2/1/2013,2.6,8.6,14.5,0
2/2/2013,1.1,8.8,16.6,0
2/3/2013,1.6,8.7,15.7,0
2/4/2013,5.6,12.5,19.3,0
2/5/2013,6.7,12,17.4,5.97
2/6/2013,12.6,15.3,18,5.61
2/7/2013,13.5,17,20.4,12.76
2/8/2013,10.3,16.5,22.8,15.25
2/9/2013,7.9,13.7,19.6,0
2/10/2013,6.8,11.6,16.4,0
2/11/2013,13.4,16.9,20.3,1.21
2/12/2013,13.9,18.4,23,10.56
2/13/2013,14.8,18.5,22.2,2.13
2/14/2013,5.9,11.8,17.7,3.25
2/15/2013,1.8,7.5,13.3,0
2/16/2013,3.3,10.2,17,0
2/17/2013,-1.3,5.6,12.4,0
2/18/2013,-1.4,5,11.3,0
2/19/2013,8.3,13.2,18.1,8.38
2/20/2013,2.5,11.3,20.1,13.49
2/21/2013,3.2,9,14.8,0
2/22/2013,7.5,13.4,19.2,4.91
2/23/2013,17.6,18.9,20.2,55.22
2/24/2013,11.3,15.3,19.3,8.04
2/25/2013,11.2,15.7,20.3,67.48
2/26/2013,14.7,17,19.2,32.33
2/27/2013,7.4,11.4,15.5,0
2/28/2013,7.7,12,16.3,0
3/1/2013,4.7,10.2,15.7,0
3/2/2013,0.4,6.3,12.2,0
3/3/2013,1.2,5.6,10,0
3/4/2013,0,5.5,11,0
3/5/2013,2.7,10.1,17.5,0
3/6/2013,5.1,13.5,21.9,0
3/7/2013,1.5,8.3,15,0
3/8/2013,2.6,9,15.4,0
3/9/2013,4.9,12.2,19.6,0
3/10/2013,10.2,14.5,18.9,0
3/11/2013,15.2,17.8,20.4,0
3/12/2013,5.8,13.2,20.5,30.76
3/13/2013,4.6,11.6,18.7,0
3/14/2013,3.3,11.1,19,0
3/15/2013,3,10.4,17.8,0
3/16/2013,6.7,13.3,19.9,0
3/17/2013,10.5,16.3,22.2,0
3/18/2013,13.5,17.3,21.1,0
3/19/2013,15.3,19.1,23,2.74
3/20/2013,13.7,18.5,23.4,0
3/21/2013,5.3,12,18.7,0
3/22/2013,7.1,12.9,18.6,0
3/23/2013,11.1,14.7,18.2,0
3/24/2013,16.1,18.7,21.2,14.73
3/25/2013,4.6,14.6,24.7,0
3/26/2013,1.8,8.7,15.7,0
3/27/2013,0.3,6.7,13.2,0
3/28/2013,1.6,7.8,14,0
3/29/2013,4.6,11.5,18.5,0
3/30/2013,8.1,14.3,20.5,0
3/31/2013,11.3,16.8,22.2,0
4/1/2013,15.8,19.7,23.5,0.61
4/2/2013,10.1,17.5,24.9,0
4/3/2013,13.9,19,24.2,0
4/4/2013,12.7,14.9,17.1,22.13
4/5/2013,12.5,17.4,22.3,0
4/6/2013,6.3,12.1,18,0
4/7/2013,9.4,14.9,20.4,0
4/8/2013,14.9,18.7,22.4,0
4/9/2013,17.6,20.7,23.8,0
4/10/2013,17.6,21.3,24.9,0
4/11/2013,19.2,22,24.7,0
4/12/2013,14.7,19.9,25.1,26.9
4/13/2013,10.5,17.5,24.4,0
4/14/2013,13.9,19.2,24.5,2.01
4/15/2013,15,17.1,19.1,45.38
4/16/2013,17.4,20.8,24.3,0
4/17/2013,19.2,22.6,26.1,0
4/18/2013,18.9,22.3,25.7,0
4/19/2013,21.1,23,25,0
