Date,tmin,tmean,tmax,ppt
9/1/2013,22.8,27.3,31.8,2.74
9/2/2013,24,27.9,31.8,2.17
9/3/2013,22.6,26.8,30.9,8.97
9/4/2013,22,26.5,31,5.15
9/5/2013,22.9,27.2,31.6,0.04
9/6/2013,22.8,27.3,31.7,0.44
9/7/2013,22.1,27.3,32.5,0
9/8/2013,21.6,26.7,31.7,0
9/9/2013,21.7,26.9,32.1,0
9/10/2013,22.6,27.7,32.8,0.24
9/11/2013,22.8,27.2,31.7,0
9/12/2013,23.3,28.1,33,0
9/13/2013,22.1,26.8,31.6,0
9/14/2013,22.4,27.6,32.8,0
9/15/2013,20.9,25.9,30.9,0
9/16/2013,23,27.5,32,0
9/17/2013,22.4,27.2,32,0.88
9/18/2013,22.6,27.2,31.9,7.31
9/19/2013,22.7,26.6,30.5,0.28
9/20/2013,22.2,26.1,30,0
9/21/2013,24.1,27.5,30.8,1.03
9/22/2013,21.2,24.5,27.9,39.28
9/23/2013,20.9,23.6,26.4,1.36
9/24/2013,23.2,26.5,29.9,29.09
9/25/2013,22,25.3,28.5,27.2
9/26/2013,20.1,25.3,30.5,0
9/27/2013,18.1,23.8,29.6,0
9/28/2013,17,23,29,0
9/29/2013,16.8,22.9,28.9,0
9/30/2013,18.6,23.2,27.7,0.22
10/1/2013,19.5,24.1,28.7,0.05
10/2/2013,20.8,25,29.2,0
10/3/2013,20.2,22.6,25.1,10.71
10/4/2013,22,25.6,29.2,0
10/5/2013,22.7,26.6,30.4,0
10/6/2013,23.6,26.8,30,0.48
10/7/2013,16.5,21.7,26.9,59.57
10/8/2013,13.7,20.1,26.5,0
10/9/2013,14.9,20.9,26.9,0
10/10/2013,15.9,20.4,24.9,0
10/11/2013,17,22.2,27.3,0
10/12/2013,17.8,23,28.3,0
10/13/2013,17.7,23.4,29.1,0
10/14/2013,17.6,23.5,29.5,0
10/15/2013,16.6,22.8,28.9,0
10/16/2013,16.6,21.3,26.1,0
10/17/2013,18.1,22.7,27.3,0
10/18/2013,18.9,23.7,28.5,1.67
10/19/2013,18.7,21.9,25.1,0
10/20/2013,14.4,18.8,23.3,0.31
10/21/2013,15,19.9,24.7,0
10/22/2013,16.7,19.6,22.5,1.78
10/23/2013,13.4,18.8,24.1,0
10/24/2013,8.6,15.8,23,0
10/25/2013,9.9,16.2,22.6,0
10/26/2013,6.1,13,20,0
10/27/2013,7,13.6,20.2,0
10/28/2013,10,16.5,23,0
10/29/2013,12.6,18.9,25.1,0
10/30/2013,14.2,19.8,25.5,0
10/31/2013,16.8,21.2,25.6,0
11/1/2013,21.6,24.3,27,3.24
11/2/2013,12.1,18.4,24.8,7.04
11/3/2013,8.5,16.7,24.8,0
11/4/2013,9.2,14.9,20.7,0
11/5/2013,11.1,17.4,23.7,0
11/6/2013,14.2,19.4,24.6,0
11/7/2013,16.1,20.3,24.5,1.37
11/8/2013,7,13.9,20.7,0.82
11/9/2013,7.5,13.1,18.7,0
11/10/2013,10.8,16.6,22.3,0
11/11/2013,9,16.6,24.2,0
11/12/2013,10,16.9,23.8,0
11/13/2013,1.6,12.3,23,0
11/14/2013,0.2,6.7,13.2,0
11/15/2013,2.5,10.1,17.7,0
11/16/2013,14,17.7,21.4,0
11/17/2013,15.8,19,22.2,0.18
11/18/2013,20.3,23.1,25.8,28.65
11/19/2013,9.1,16.1,23,39.33
11/20/2013,8.7,13.9,19,0
11/21/2013,10.5,15.4,20.4,0
11/22/2013,14.5,17.3,20.1,0
11/23/2013,17,19.7,22.5,0
11/24/2013,7.1,14.7,22.2,0
11/25/2013,6.3,10.1,13.9,0
11/26/2013,7.4,13,18.6,57.71
11/27/2013,4.7,12.8,20.9,24.45
11/28/2013,-2.2,3.5,9.3,0
11/29/2013,-1.5,4.5,10.6,0
11/30/2013,0.7,8.3,15.9,0
12/1/2013,3.5,11.3,19.2,0
12/2/2013,8.3,12.8,17.3,0
12/3/2013,9.8,14.7,19.5,0
12/4/2013,14.2,19.1,24,0
12/5/2013,18.9,21.5,24.2,28.18
12/6/2013,20.9,22.6,24.2,0
12/7/2013,11.4,18,24.7,0.1
12/8/2013,9.5,11.1,12.8,0
12/9/2013,11.6,16.6,21.6,0.43
12/10/2013,15.9,18.9,22,8
12/11/2013,2.8,9.3,15.7,1.43
12/12/2013,3,9.3,15.6,0
12/13/2013,1.6,8.4,15.1,0
12/14/2013,1.8,9.6,17.4,0
12/15/2013,7.6,14.8,22,1.69
12/16/2013,0.1,4.8,9.6,0
12/17/2013,0,7.8,15.5,0
12/18/2013,2.2,9.9,17.6,0
12/19/2013,3.7,10.9,18.1,0
12/20/2013,4.8,11.5,18.2,0
12/21/2013,12.6,17.1,21.6,1.08
12/22/2013,19.4,21.2,22.9,0.66
12/23/2013,12.2,17.4,22.7,92.65
12/24/2013,1.1,7.5,13.8,0
12/25/2013,-0.6,5.7,12,0
12/26/2013,-0.9,5.7,12.3,0
12/27/2013,4.4,9.7,14.9,0
12/28/2013,7.4,11.6,15.8,3.94
12/29/2013,8.7,11.8,14.9,84.55
12/30/2013,4.1,8.7,13.2,0
12/31/2013,6.3,10.5,14.6,0
1/1/2014,7.3,8.1,9,0.12
1/2/2014,8.5,11.7,15,2.54
1/3/2014,-2.1,6.6,15.2,4.28
1/4/2014,-2.5,2.1,6.8,0
1/5/2014,2,7.9,13.7,0
1/6/2014,0.4,9.3,18.2,5.68
1/7/2014,-7.6,-1.7,4.1,0
1/8/2014,-8,-3.8,0.4,0
1/9/2014,-6.1,1.7,9.4,0
1/10/2014,5.4,8.2,11.1,3.82
1/11/2014,10.8,15.1,19.3,5.42
1/12/2014,3.3,12.3,21.3,9.19
1/13/2014,3,9.7,16.4,0
1/14/2014,9.4,13.1,16.8,36.13
1/15/2014,4.5,11.5,18.5,0
1/16/2014,-2.3,5.5,13.2,0
1/17/2014,-2.5,4.9,12.3,0
1/18/2014,-0.9,7.8,16.5,0
1/19/2014,-1.5,6.3,14.1,3.58
1/20/2014,1.2,9.2,17.2,0
1/21/2014,1,9.1,17.3,0
1/22/2014,-2.7,6.5,15.7,0
1/23/2014,-3,3.3,9.5,0
1/24/2014,0.9,6.6,12.3,0
1/25/2014,0.2,2.6,5.1,0
1/26/2014,1.7,7.5,13.4,0
1/27/2014,2.2,8.7,15.3,0.04
1/28/2014,3.7,11.3,18.8,7.44
1/29/2014,-5.1,-0.7,3.6,11.11
1/30/2014,-7.1,-5.1,-3,0
1/31/2014,-7,-1.1,4.7,0
2/1/2014,-1.8,6,13.8,0
2/2/2014,8.7,13.3,18,1.83
2/3/2014,11.2,15.2,19.3,2.61
2/4/2014,9.9,14.3,18.6,1.13
2/5/2014,11.4,15.4,19.4,0.41
2/6/2014,2.4,9.7,17.1,0
2/7/2014,-0.6,2.3,5.3,1.77
2/8/2014,-0.5,7,14.6,10.25
2/9/2014,5.2,10.4,15.6,0
2/10/2014,4.8,11.5,18.2,0
2/11/2014,7.5,13.3,19.2,0.21
2/12/2014,6,9.3,12.7,47.76
2/13/2014,3.7,6.6,9.6,5.96
2/14/2014,1.7,7.8,13.9,0
2/15/2014,3.4,9.7,16.1,0.35
2/16/2014,2.5,9.2,15.9,0
2/17/2014,4,10.9,17.8,0
2/18/2014,6.5,13.3,20.1,0
2/19/2014,13.6,17.8,22,0
2/20/2014,16.1,18.5,20.9,0
2/21/2014,15.5,18.5,21.6,50.41
2/22/2014,6.7,13.3,20,0
2/23/2014,7.5,13.9,20.4,37.89
2/24/2014,13.1,15.4,17.7,21.91
2/25/2014,11.4,17.2,23,0
2/26/2014,11.9,17,22.2,25.67
2/27/2014,2.1,8.4,14.7,1.91
2/28/2014,-1,6,13,0
3/1/2014,1.1,7.9,14.6,0
3/2/2014,8.3,13.6,18.8,0
3/3/2014,9.9,15.2,20.5,0
3/4/2014,2.5,10.9,19.3,0.26
3/5/2014,2.7,5.2,7.6,7.55
3/6/2014,6.6,11.8,17,20.51
3/7/2014,5,9.1,13.1,2.97
3/8/2014,4.1,8.9,13.8,0
3/9/2014,5,11.4,17.8,0
3/10/2014,9.4,14.8,20.3,0
3/11/2014,12.3,17.4,22.5,0
3/12/2014,14.7,17.5,20.3,2.18
3/13/2014,2.7,12.1,21.5,0
3/14/2014,3.5,10.8,18.1,0
3/15/2014,7.1,12.7,18.2,0
3/16/2014,11.4,15.2,19,0.46
3/17/2014,15.4,17.5,19.6,96.26
3/18/2014,7.8,12.4,17,1.99
3/19/2014,8.7,12.3,15.9,0
3/20/2014,10,15,20.1,0
3/21/2014,9.3,15.7,22,0
3/22/2014,11.9,17.7,23.5,0
3/23/2014,14.4,18.5,22.5,0
3/24/2014,11.7,17.6,23.5,0.87
3/25/2014,9.6,14,18.4,0
3/26/2014,1.5,9.8,18,0
3/27/2014,3.8,9.4,14.9,0
3/28/2014,12.2,15.9,19.6,0.44
3/29/2014,14.2,16.4,18.6,76.51
3/30/2014,7.2,15.3,23.4,0
3/31/2014,5.6,13.8,22,0
4/1/2014,7,14.1,21.3,0
4/2/2014,11.1,16.2,21.4,0
4/3/2014,17.3,19.8,22.3,0
4/4/2014,18.2,20.8,23.4,0
4/5/2014,17.1,20.7,24.3,0.65
4/6/2014,17,19.9,22.9,27.07
4/7/2014,17.9,19.9,21.9,5.11
4/8/2014,10.4,16.2,22.1,60.42
4/9/2014,10.6,15.2,19.7,0
4/10/2014,8,15.2,22.5,0
4/11/2014,10.7,16.3,21.9,0
4/12/2014,11,17,23,0
4/13/2014,14.1,19.5,24.9,0
4/14/2014,18.4,21.5,24.6,0
4/15/2014,14.7,19.4,24.1,139.93
4/16/2014,4.8,9.5,14.3,0.01
4/17/2014,6.4,12.9,19.3,0
4/18/2014,12.7,17.8,22.9,55.43
4/19/2014,13.3,15.1,17,38.42
4/20/2014,12.6,18.2,23.9,0
4/21/2014,10.1,13.8,17.4,0
4/22/2014,13.2,17.8,22.4,0
4/23/2014,15.9,19.6,23.3,0
4/24/2014,16.5,21.1,25.7,0
4/25/2014,19.5,22.1,24.8,0
4/26/2014,18.7,22.6,26.6,0
4/27/2014,19.7,22.8,26,0
4/28/2014,21.4,23.6,25.7,0
4/29/2014,18.6,22.7,26.8,40.01
4/30/2014,17.6,20.3,23,283.94
5/1/2014,13.8,17.6,21.4,12.29
5/2/2014,13.8,16.3,18.7,5.28
5/3/2014,14.4,17.6,20.8,0
5/4/2014,14.4,20,25.5,0
5/5/2014,15.9,22,28.2,0
5/6/2014,15.2,22.1,29,0
5/7/2014,15.5,20.9,26.4,0
5/8/2014,16.6,21.7,26.8,0
5/9/2014,20.3,24,27.7,0
5/10/2014,22.5,24.5,26.5,0.05
5/11/2014,22.8,24.4,26.1,0
5/12/2014,22.8,25.3,27.8,0
5/13/2014,18.8,23.4,28,0
5/14/2014,20.4,24,27.7,2.39
5/15/2014,14.1,19.8,25.5,20.52
5/16/2014,10.6,16.1,21.7,0
5/17/2014,14.6,20,25.4,0
5/18/2014,14.6,20,25.5,0
5/19/2014,15.6,21.1,26.6,0
5/20/2014,16.2,21.6,27.1,0
5/21/2014,18,22.8,27.7,0
5/22/2014,17.1,22.6,28.1,0
5/23/2014,19.7,24.9,30.1,0
5/24/2014,20.8,25.8,30.8,0
5/25/2014,21.1,25.9,30.7,0
5/26/2014,20.2,25.8,31.4,0
5/27/2014,22.6,25.8,29.1,0
5/28/2014,24.4,26.9,29.4,0
5/29/2014,21,25.3,29.5,38.88
5/30/2014,20.2,21.9,23.5,56
5/31/2014,20.9,24.1,27.4,9.1
6/1/2014,21.3,25,28.6,0.74
