Date,Direction of Travel,Species
10/25/2013,IN,RANUTR
10/25/2013,IN,ACRGRY
10/25/2013,OUT,ACRGRY
10/25/2013,IN,ACRGRY
10/25/2013,IN,ACRGRY
10/25/2013,IN,ACRGRY
10/25/2013,IN,ACRGRY
10/25/2013,IN,ACRGRY
10/25/2013,IN,ACRGRY
10/25/2013,IN,ACRGRY
10/25/2013,IN,BUFQUE
10/25/2013,IN,RANUTR
10/25/2013,IN,ACRGRY
10/25/2013,IN,BUFQUE
10/25/2013,IN,EURQUA
10/25/2013,OUT,ACRGRY
10/25/2013,IN,ACRGRY
10/25/2013,IN,ACRGRY
10/25/2013,IN,ACRGRY
10/25/2013,OUT,ACRGRY
10/25/2013,IN,ACRGRY
10/25/2013,IN,ACRGRY
10/25/2013,IN,ACRGRY
10/25/2013,IN,ACRGRY
10/25/2013,IN,ACRGRY
10/25/2013,OUT,ACRGRY
10/25/2013,OUT,ELAGUT
10/25/2013,IN,ACRGRY
10/25/2013,IN,ACRGRY
10/25/2013,IN,ACRGRY
10/25/2013,OUT,ACRGRY
10/25/2013,OUT,ACRGRY
10/25/2013,IN,ACRGRY
10/26/2013,IN,ACRGRY
10/26/2013,OUT,ACRGRY
10/26/2013,OUT,ACRGRY
10/26/2013,IN,ACRGRY
10/26/2013,OUT,ACRGRY
10/26/2013,IN,BUFQUE
10/26/2013,IN,GASCAR
10/26/2013,IN,THASAU
10/26/2013,,
10/26/2013,OUT,ACRGRY
10/26/2013,OUT,ACRGRY
10/26/2013,IN,ACRGRY
10/26/2013,IN,ACRGRY
10/26/2013,OUT,ACRGRY
10/26/2013,IN,BUFQUE
10/26/2013,IN,ACRGRY
10/27/2013,IN,ACRGRY
10/27/2013,,
10/27/2013,OUT,ACRGRY
10/27/2013,IN,RANUTR
10/27/2013,IN,THASIR
10/27/2013,OUT,DIAPUN
10/27/2013,OUT,HYLFEM
10/27/2013,IN,GASCAR
10/27/2013,OUT,RANUTR
10/27/2013,OUT,ACRGRY
10/27/2013,IN,ACRGRY
10/27/2013,IN,AMBBIS
10/27/2013,IN,GASCAR
10/27/2013,OUT,RANUTR
10/27/2013,IN,GASCAR
10/27/2013,IN,AMBBIS
10/27/2013,IN,AMBBIS
10/27/2013,IN,GASCAR
10/28/2013,IN,ACRGRY
10/28/2013,IN,GASCAR
10/28/2013,OUT,ACRGRY
10/28/2013,IN,GASCAR
10/28/2013,IN,GASCAR
10/28/2013,IN,ACRGRY
10/28/2013,OUT,ACRGRY
10/28/2013,OUT,ACRGRY
10/28/2013,IN,ACRGRY
10/28/2013,IN,ACRGRY
10/28/2013,OUT,RANUTR
10/28/2013,IN,THASIR
10/28/2013,OUT,RANUTR
10/28/2013,IN,BUFQUE
10/28/2013,IN,ACRGRY
10/28/2013,OUT,RANUTR
10/28/2013,IN,ACRGRY
10/28/2013,OUT,APAFER
10/28/2013,IN,THASAU
10/28/2013,OUT,DIAPUN
10/28/2013,IN,ACRGRY
10/28/2013,OUT,RANUTR
10/28/2013,OUT,RANUTR
10/28/2013,OUT,RANUTR
10/28/2013,OUT,RANUTR
10/28/2013,IN,ACRGRY
10/28/2013,,
10/28/2013,OUT,RANGRY
10/28/2013,OUT,GASCAR
10/28/2013,OUT,RANUTR
10/28/2013,IN,ACRGRY
10/29/2013,IN,ACRGRY
10/29/2013,OUT,ACRGRY
10/29/2013,IN,GASCAR
10/29/2013,IN,GASCAR
10/29/2013,IN,ACRGRY
10/29/2013,IN,ACRGRY
10/29/2013,IN,ACRGRY
10/29/2013,OUT,RANUTR
10/29/2013,OUT,APAFER
10/29/2013,IN,BUFQUE
10/29/2013,OUT,ACRGRY
10/29/2013,IN,ACRGRY
10/29/2013,IN,BUFTER
10/29/2013,OUT,RANUTR
10/29/2013,OUT,RANUTR
10/29/2013,IN,GASCAR
10/29/2013,OUT,GASCAR
10/29/2013,IN,NERFAS
10/29/2013,IN,BUFTER
10/29/2013,IN,GASCAR
10/29/2013,IN,GASCAR
10/29/2013,OUT,RANUTR
10/29/2013,OUT,RANUTR
10/29/2013,IN,AMBBIS
10/29/2013,OUT,RANUTR
10/29/2013,OUT,ACRGRY
10/29/2013,OUT,RANUTR
10/29/2013,OUT,NERFAS
10/29/2013,OUT,ACRGRY
10/29/2013,OUT,ACRGRY
10/29/2013,OUT,ACRGRY
10/29/2013,OUT,GASCAR
10/29/2013,OUT,ACRGRY
10/29/2013,OUT,RANUTR
10/30/2013,IN,GASCAR
10/30/2013,OUT,ACRGRY
10/30/2013,OUT,ACRGRY
10/30/2013,IN,ACRGRY
10/30/2013,OUT,ACRGRY
10/30/2013,OUT,ACRGRY
10/30/2013,OUT,ACRGRY
10/30/2013,OUT,ACRGRY
10/30/2013,IN,ACRGRY
10/30/2013,IN,ACRGRY
10/30/2013,OUT,ACRGRY
10/30/2013,OUT,RANUTR
10/30/2013,IN,ACRGRY
10/30/2013,IN,ACRGRY
10/30/2013,OUT,BUFTER
10/30/2013,OUT,RANUTR
10/30/2013,IN,ACRGRY
10/30/2013,OUT,ACRGRY
10/30/2013,OUT,ACRGRY
10/30/2013,OUT,ACRGRY
10/30/2013,OUT,ACRGRY
10/30/2013,OUT,SCILAT
10/30/2013,OUT,RANUTR
10/30/2013,IN,APAFER
10/30/2013,IN,BUFQUE
10/30/2013,OUT,ACRGRY
10/30/2013,IN,THASAU
10/30/2013,IN,THASAU
10/30/2013,OUT,RANUTR
10/30/2013,OUT,NERFAS
10/30/2013,OUT,NERFAS
10/30/2013,OUT,AGKPIS
10/30/2013,OUT,ACRGRY
10/30/2013,OUT,ACRGRY
10/30/2013,OUT,ACRGRY
10/30/2013,OUT,NERFAS
10/30/2013,OUT,RANUTR
10/30/2013,IN,NERFAS
10/30/2013,OUT,RANUTR
10/30/2013,OUT,RANUTR
10/30/2013,OUT,RANUTR
10/30/2013,OUT,GASCAR
10/30/2013,OUT,ACRGRY
10/30/2013,OUT,NERFAS
10/30/2013,OUT,ACRGRY
10/30/2013,IN,REGRIG
10/30/2013,OUT,AMBBIS
10/30/2013,OUT,RANUTR
10/30/2013,OUT,ACRGRY
10/30/2013,OUT,ACRGRY
10/30/2013,OUT,NERFAS
10/30/2013,OUT,GASCAR
10/30/2013,IN,ACRGRY
10/30/2013,OUT,NERFAS
10/30/2013,IN,GASCAR
10/30/2013,OUT,RANUTR
10/30/2013,IN,ACRGRY
10/30/2013,OUT,RANUTR
10/30/2013,IN,AMBBIS
10/30/2013,OUT,ACRGRY
10/30/2013,OUT,ACRGRY
10/30/2013,OUT,GASCAR
10/30/2013,OUT,RANUTR
10/31/2013,IN,GASCAR
10/31/2013,IN,GASCAR
10/31/2013,IN,GASCAR
10/31/2013,IN,GASCAR
10/31/2013,OUT,RANUTR
10/31/2013,OUT,RANUTR
10/31/2013,OUT,RANUTR
10/31/2013,IN,GASCAR
10/31/2013,IN,ACRGRY
10/31/2013,IN,GASCAR
10/31/2013,IN,ACRGRY
10/31/2013,,
10/31/2013,OUT,RANUTR
10/31/2013,OUT,RANUTR
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,IN,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,IN,ACRGRY
10/31/2013,IN,BUFTER
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,IN,GASCAR
10/31/2013,OUT,ACRGRY
10/31/2013,IN,ACRGRY
10/31/2013,IN,GASCAR
10/31/2013,IN,GASCAR
10/31/2013,IN,ACRGRY
10/31/2013,IN,GASCAR
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,IN,GASCAR
10/31/2013,IN,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,THASAU
10/31/2013,OUT,RANUTR
10/31/2013,IN,ACRGRY
10/31/2013,IN,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,IN,BUFTER
10/31/2013,IN,BUFQUE
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,IN,GASCAR
10/31/2013,IN,RANUTR
10/31/2013,OUT,RANUTR
10/31/2013,OUT,KINSUB
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,IN,GASCAR
10/31/2013,OUT,RANUTR
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,RANUTR
10/31/2013,OUT,NERFAS
10/31/2013,IN,THASAU
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,GASCAR
10/31/2013,OUT,NERFAS
10/31/2013,OUT,GASCAR
10/31/2013,OUT,GASCAR
10/31/2013,OUT,ACRGRY
10/31/2013,IN,BUFQUE
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,REGRIG
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,NERFAS
10/31/2013,OUT,REGRIG
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,RANUTR
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,GASCAR
10/31/2013,OUT,RANUTR
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,IN,ELEPLA
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,GASCAR
10/31/2013,OUT,GASCAR
10/31/2013,OUT,ELEPLA
10/31/2013,OUT,RANUTR
10/31/2013,OUT,ACRGRY
10/31/2013,IN,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,GASCAR
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,GASCAR
10/31/2013,OUT,AMBBIS
10/31/2013,OUT,ACRGRY
10/31/2013,IN,ACRGRY
10/31/2013,OUT,GASCAR
10/31/2013,OUT,GASCAR
10/31/2013,OUT,GASCAR
10/31/2013,IN,NERFAS
10/31/2013,IN,GASCAR
10/31/2013,OUT,AMBBIS
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,AMBBIS
10/31/2013,OUT,GASCAR
10/31/2013,OUT,GASCAR
10/31/2013,OUT,GASCAR
10/31/2013,OUT,REGRIG
10/31/2013,OUT,GASCAR
10/31/2013,OUT,ACRGRY
10/31/2013,IN,NOTVIR
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,GASCAR
10/31/2013,OUT,ELEPLA
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,OUT,ACRGRY
10/31/2013,IN,ELEPLA
10/31/2013,OUT,GASCAR
10/31/2013,OUT,ELEPLA
11/1/2013,OUT,GASCAR
11/1/2013,OUT,NOTVIR
11/1/2013,OUT,GASCAR
11/1/2013,IN,GASCAR
11/1/2013,OUT,AMBBIS
11/1/2013,OUT,GASCAR
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,IN,RANUTR
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,IN,AMBBIS
11/1/2013,OUT,GASCAR
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,AMBBIS
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,IN,ELEPLA
11/1/2013,IN,RANUTR
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,IN,ACRGRY
11/1/2013,IN,ACRGRY
11/1/2013,IN,NOTVIR
11/1/2013,IN,ELEPLA
11/1/2013,OUT,NOTVIR
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,NOTVIR
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,IN,GASCAR
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,SCILAT
11/1/2013,OUT,ACRGRY
11/1/2013,IN,RANUTR
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,GASCAR
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,GASCAR
11/1/2013,OUT,GASCAR
11/1/2013,OUT,ACRGRY
11/1/2013,IN,ACRGRY
11/1/2013,OUT,GASCAR
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,NOTVIR
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,NOTVIR
11/1/2013,OUT,NOTVIR
11/1/2013,OUT,NOTVIR
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,NOTVIR
11/1/2013,IN,REGRIG
11/1/2013,OUT,GASCAR
11/1/2013,OUT,GASCAR
11/1/2013,IN,AMBBIS
11/1/2013,OUT,GASCAR
11/1/2013,OUT,ACRGRY
11/1/2013,IN,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,IN,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,RANUTR
11/1/2013,IN,ACRGRY
11/1/2013,OUT,NOTVIR
11/1/2013,OUT,NOTVIR
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,NOTVIR
11/1/2013,OUT,NOTVIR
11/1/2013,OUT,SIGHIS
11/1/2013,OUT,RANUTR
11/1/2013,IN,ACRGRY
11/1/2013,IN,ACRGRY
11/1/2013,IN,NOTVIR
11/1/2013,OUT,NOTVIR
11/1/2013,IN,NOTVIR
11/1/2013,IN,NOTVIR
11/1/2013,IN,NOTVIR
11/1/2013,OUT,NOTVIR
11/1/2013,OUT,NOTVIR
11/1/2013,OUT,NOTVIR
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,NOTVIR
11/1/2013,OUT,NOTVIR
11/1/2013,OUT,NOTVIR
11/1/2013,OUT,NOTVIR
11/1/2013,OUT,NOTVIR
11/1/2013,OUT,NOTVIR
11/1/2013,OUT,NOTVIR
11/1/2013,OUT,NOTVIR
11/1/2013,IN,GASCAR
11/1/2013,OUT,GASCAR
11/1/2013,OUT,NOTVIR
11/1/2013,OUT,NOTVIR
11/1/2013,OUT,NOTVIR
11/1/2013,OUT,NOTVIR
11/1/2013,IN,RANUTR
11/1/2013,OUT,NOTVIR
11/1/2013,OUT,NOTVIR
11/1/2013,OUT,NOTVIR
11/1/2013,OUT,NOTVIR
11/1/2013,OUT,NOTVIR
11/1/2013,OUT,NOTVIR
11/1/2013,IN,ACRGRY
11/1/2013,OUT,NOTVIR
11/1/2013,OUT,APAFER
11/1/2013,OUT,GASCAR
11/1/2013,OUT,OPHAES
11/1/2013,OUT,ACRGRY
11/1/2013,IN,ACRGRY
11/1/2013,IN,ACRGRY
11/1/2013,OUT,NOTVIR
11/1/2013,IN,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,AMBBIS
11/1/2013,OUT,ACRGRY
11/1/2013,IN,RANUTR
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ELEPLA
11/1/2013,OUT,ELEPLA
11/1/2013,IN,NOTVIR
11/1/2013,OUT,GASCAR
11/1/2013,IN,ACRGRY
11/1/2013,OUT,NOTVIR
11/1/2013,OUT,GASCAR
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ACRGRY
11/1/2013,IN,ACRGRY
11/1/2013,OUT,GASCAR
11/1/2013,OUT,NOTVIR
11/1/2013,OUT,ACRGRY
11/1/2013,IN,RANUTR
11/1/2013,IN,ACRGRY
11/1/2013,OUT,RANUTR
11/1/2013,OUT,ACRGRY
11/1/2013,OUT,ELEPLA
11/2/2013,OUT,ACRGRY
11/2/2013,OUT,EURQUA
11/2/2013,OUT,ACRGRY
11/2/2013,IN,ACRGRY
11/2/2013,OUT,NOTVIR
11/2/2013,IN,ACRGRY
11/2/2013,IN,GASCAR
11/2/2013,IN,ACRGRY
11/2/2013,OUT,ACRGRY
11/2/2013,OUT,KINSUB
11/2/2013,OUT,GASCAR
11/2/2013,OUT,NOTVIR
11/2/2013,OUT,ACRGRY
11/2/2013,OUT,ACRGRY
11/2/2013,OUT,ACRGRY
11/2/2013,OUT,ACRGRY
11/2/2013,IN,KINSUB
11/2/2013,OUT,NOTVIR
11/2/2013,IN,ACRGRY
11/2/2013,OUT,NOTVIR
11/2/2013,OUT,ACRGRY
11/2/2013,IN,RANUTR
11/2/2013,IN,ACRGRY
11/2/2013,IN,RANUTR
11/2/2013,IN,ACRGRY
11/3/2013,OUT,ACRGRY
11/3/2013,IN,ACRGRY
11/3/2013,IN,ACRGRY
11/3/2013,IN,APAFER
11/3/2013,OUT,ACRGRY
11/3/2013,OUT,ACRGRY
11/3/2013,IN,ACRGRY
11/3/2013,OUT,NOTVIR
11/3/2013,OUT,NOTVIR
11/3/2013,IN,ACRGRY
11/3/2013,IN,ACRGRY
11/3/2013,IN,NOTVIR
11/3/2013,,
11/3/2013,,
11/4/2013,,
11/4/2013,,
11/4/2013,OUT,ACRGRY
11/4/2013,OUT,GASCAR
11/4/2013,IN,RANUTR
11/4/2013,,
11/4/2013,OUT,RANUTR
11/4/2013,IN,STOOCC
11/4/2013,IN,ACRGRY
11/4/2013,,
11/4/2013,,
11/4/2013,,
11/5/2013,OUT,NOTVIR
11/5/2013,OUT,GASCAR
11/5/2013,IN,ACRGRY
11/5/2013,OUT,ACRGRY
11/5/2013,IN,GASCAR
11/5/2013,IN,BUFQUE
11/5/2013,IN,BUFTER
11/5/2013,OUT,APAFER
11/5/2013,OUT,ACRGRY
11/5/2013,IN,BUFTER
11/5/2013,IN,OPHVEN
11/5/2013,OUT,ACRGRY
11/5/2013,IN,ACRGRY
11/5/2013,IN,ACRGRY
11/5/2013,IN,ELEPLA
11/5/2013,OUT,ACRGRY
11/5/2013,OUT,NOTVIR
11/5/2013,OUT,NOTVIR
11/5/2013,OUT,ACRGRY
11/6/2013,,
11/6/2013,IN,ACRGRY
11/6/2013,OUT,ACRGRY
11/6/2013,OUT,NERFAS
11/6/2013,IN,ACRGRY
11/6/2013,IN,GASCAR
11/6/2013,IN,ELEPLA
11/6/2013,OUT,RANUTR
11/6/2013,OUT,GASCAR
11/6/2013,IN,ELEPLA
11/6/2013,OUT,ELEPLA
11/6/2013,IN,ACRGRY
11/6/2013,IN,GASCAR
11/6/2013,IN,ACRGRY
11/6/2013,OUT,GASCAR
11/6/2013,OUT,RANUTR
11/6/2013,OUT,GASCAR
11/6/2013,IN,GASCAR
11/6/2013,OUT,ELEPLA
11/6/2013,OUT,ACRGRY
11/6/2013,OUT,GASCAR
11/6/2013,IN,GASCAR
11/6/2013,IN,GASCAR
11/6/2013,IN,GASCAR
11/7/2013,OUT,ACRGRY
11/7/2013,OUT,ACRGRY
11/7/2013,OUT,ACRGRY
11/7/2013,OUT,NOTVIR
11/7/2013,OUT,ACRGRY
11/7/2013,OUT,ACRGRY
11/7/2013,OUT,NOTVIR
11/7/2013,OUT,ACRGRY
11/7/2013,IN,GASCAR
11/7/2013,OUT,ACRGRY
11/7/2013,OUT,ACRGRY
11/7/2013,IN,ACRGRY
11/7/2013,OUT,ACRGRY
11/7/2013,IN,ELEPLA
11/7/2013,OUT,ACRGRY
11/7/2013,OUT,ACRGRY
11/7/2013,OUT,ACRGRY
11/7/2013,OUT,ACRGRY
11/7/2013,IN,ACRGRY
11/7/2013,IN,ACRGRY
11/7/2013,IN,OPHVEN
11/7/2013,OUT,ACRGRY
11/7/2013,OUT,NOTVIR
11/7/2013,OUT,GASCAR
11/7/2013,IN,ACRGRY
11/7/2013,,
11/7/2013,IN,ACRGRY
11/7/2013,OUT,NOTVIR
11/8/2013,,
11/8/2013,OUT,ACRGRY
11/8/2013,,
11/8/2013,,
11/8/2013,OUT,ACRGRY
11/8/2013,,
11/9/2013,OUT,ACRGRY
11/9/2013,,
11/9/2013,OUT,APAFER
11/9/2013,OUT,NOTVIR
11/9/2013,OUT,ACRGRY
11/9/2013,IN,ACRGRY
11/9/2013,OUT,NOTVIR
11/9/2013,IN,NOTVIR
11/9/2013,,
11/9/2013,IN,GASCAR
11/9/2013,IN,ACRGRY
11/9/2013,OUT,ACRGRY
11/9/2013,IN,PSEORN
11/10/2013,OUT,ACRGRY
11/10/2013,,
11/10/2013,IN,ACRGRY
11/10/2013,OUT,ACRGRY
11/10/2013,OUT,ACRGRY
11/10/2013,OUT,RANUTR
11/10/2013,IN,COLCON
11/10/2013,IN,AGKPIS
11/10/2013,OUT,ACRGRY
11/10/2013,IN,GASCAR
11/10/2013,IN,ACRGRY
11/10/2013,OUT,NOTVIR
11/10/2013,OUT,ACRGRY
11/10/2013,OUT,GASCAR
11/10/2013,,
11/11/2013,IN,ACRGRY
11/11/2013,OUT,ACRGRY
11/11/2013,,
11/11/2013,OUT,NOTVIR
11/11/2013,IN,ACRGRY
11/11/2013,IN,ELEPLA
11/11/2013,,
11/11/2013,IN,NOTVIR
11/11/2013,OUT,ACRGRY
11/11/2013,IN,ACRGRY
11/11/2013,,
11/12/2013,OUT,ACRGRY
11/12/2013,OUT,NOTVIR
11/12/2013,OUT,NOTVIR
11/12/2013,OUT,NOTVIR
11/12/2013,OUT,NOTVIR
11/12/2013,OUT,NOTVIR
11/12/2013,OUT,NOTVIR
11/12/2013,OUT,EURQUA
11/12/2013,,
11/12/2013,OUT,THASIR
11/12/2013,OUT,ACRGRY
11/12/2013,OUT,NERFAS
11/12/2013,OUT,NOTVIR
11/12/2013,OUT,ANOCAR
11/12/2013,IN,ACRGRY
11/12/2013,IN,ACRGRY
11/12/2013,IN,ACRGRY
11/12/2013,IN,ACRGRY
11/13/2013,IN,ANOCAR
11/13/2013,,
11/13/2013,,
11/13/2013,,
11/13/2013,,
11/13/2013,,
11/14/2013,,
11/14/2013,,
11/14/2013,,
11/14/2013,,
11/14/2013,,
11/14/2013,,
11/15/2013,IN,ACRGRY
11/15/2013,IN,GASCAR
11/15/2013,OUT,ACRGRY
11/15/2013,OUT,NOTVIR
11/15/2013,IN,ACRGRY
11/15/2013,IN,ACRGRY
11/15/2013,IN,ACRGRY
11/15/2013,OUT,AGKPIS
11/15/2013,,
11/15/2013,,
11/15/2013,OUT,GASCAR
11/15/2013,IN,THASIR
11/15/2013,IN,BUFTER
11/15/2013,OUT,NOTVIR
11/15/2013,OUT,NERFAS
11/15/2013,IN,ACRGRY
11/15/2013,,
11/15/2013,IN,PSEORN
11/15/2013,OUT,GASCAR
11/15/2013,,
11/16/2013,OUT,NOTVIR
11/16/2013,OUT,NOTVIR
11/16/2013,IN,ACRGRY
11/16/2013,OUT,ACRGRY
11/16/2013,OUT,ACRGRY
11/16/2013,OUT,NERFAS
11/16/2013,OUT,ACRGRY
11/16/2013,OUT,RANUTR
11/16/2013,OUT,THASAU
11/16/2013,OUT,NERFAS
11/16/2013,IN,ACRGRY
11/16/2013,IN,OPHVEN
11/16/2013,OUT,REGRIG
11/16/2013,OUT,NOTVIR
11/16/2013,OUT,AGKPIS
11/16/2013,OUT,NOTVIR
11/16/2013,OUT,ACRGRY
11/16/2013,OUT,ELAGUT
11/16/2013,OUT,RANUTR
11/16/2013,IN,THASIR
11/16/2013,IN,ACRGRY
11/16/2013,OUT,NERFAS
11/16/2013,,
11/16/2013,,
11/16/2013,IN,THASAU
11/16/2013,OUT,ELEPLA
11/16/2013,IN,ACRGRY
11/17/2013,OUT,AMBBIS
11/17/2013,IN,GASCAR
11/17/2013,OUT,PSEORN
11/17/2013,OUT,GASCAR
11/17/2013,IN,ELEPLA
11/17/2013,IN,ELEPLA
11/17/2013,IN,ACRGRY
11/17/2013,IN,BUFTER
11/17/2013,OUT,RANUTR
11/17/2013,OUT,ACRGRY
11/17/2013,OUT,ACRGRY
11/17/2013,IN,ACRGRY
11/17/2013,IN,GASCAR
11/17/2013,OUT,RANUTR
11/17/2013,IN,ELEPLA
11/17/2013,OUT,ACRGRY
11/17/2013,IN,ACRGRY
11/17/2013,IN,ACRGRY
11/17/2013,OUT,GASCAR
11/17/2013,IN,GASCAR
11/17/2013,OUT,ACRGRY
11/17/2013,OUT,ACRGRY
11/17/2013,OUT,ACRGRY
11/17/2013,OUT,ACRGRY
11/17/2013,OUT,GASCAR
11/17/2013,OUT,ACRGRY
11/17/2013,OUT,ACRGRY
11/17/2013,OUT,ACRGRY
11/17/2013,OUT,ACRGRY
11/17/2013,IN,ACRGRY
11/17/2013,OUT,ACRGRY
11/17/2013,OUT,GASCAR
11/17/2013,OUT,ACRGRY
11/17/2013,IN,ANOCAR
11/17/2013,OUT,NOTVIR
11/17/2013,OUT,ACRGRY
11/17/2013,OUT,NOTVIR
11/17/2013,OUT,ACRGRY
11/17/2013,OUT,ACRGRY
11/17/2013,OUT,ACRGRY
11/17/2013,OUT,HYLFEM
11/17/2013,OUT,ACRGRY
11/17/2013,OUT,ACRGRY
11/17/2013,OUT,NOTVIR
11/17/2013,IN,ACRGRY
11/17/2013,OUT,ACRGRY
11/17/2013,OUT,NOTVIR
11/17/2013,IN,ACRGRY
11/17/2013,OUT,NERFAS
11/17/2013,IN,ELEPLA
11/17/2013,IN,ACRGRY
11/17/2013,OUT,NOTVIR
11/17/2013,IN,ELEPLA
11/17/2013,IN,ELEPLA
11/17/2013,IN,NERFAS
11/17/2013,IN,ACRGRY
11/17/2013,IN,ACRGRY
11/17/2013,IN,ACRGRY
11/17/2013,OUT,AGKPIS
11/17/2013,IN,OPHVEN
11/17/2013,IN,ELEPLA
11/17/2013,OUT,REGRIG
11/17/2013,OUT,RANUTR
11/17/2013,IN,ACRGRY
11/17/2013,OUT,ACRGRY
11/17/2013,OUT,ACRGRY
11/17/2013,OUT,GASCAR
11/17/2013,IN,EURQUA
11/17/2013,IN,ACRGRY
11/17/2013,OUT,ACRGRY
11/17/2013,OUT,NOTVIR
11/17/2013,OUT,NOTVIR
11/17/2013,OUT,GASCAR
11/17/2013,IN,GASCAR
11/17/2013,OUT,ACRGRY
11/17/2013,OUT,ACRGRY
11/17/2013,IN,ACRGRY
11/17/2013,OUT,BUFTER
11/17/2013,IN,TANCOR
11/17/2013,IN,ACRGRY
